text,final
disappointed us supreme court blocks bidens vaccine mandate for businesses download the wion news app now shared via wion,0
today on covid based on what they have told us about vaccinated people and the low rate of vaccination in europe how does this make sense they need to tell us the rest,1
i wonder why no dust is been raised about this imagine if boris johnson flew in the cover of the night to go collect vaccine in the us while the uk citizen are yet to get vaccinated,0
kai theres so much distrust in this country as the news that buhari and osibanjo will publicly take covid vaccine on saturday people are already saying the vaccine they will take is different from the one other nigerians will be given oh my naija,1
after shoot of vaccine still he is still not immune to covidwhat a world,1
the crsg has announced the extension of the covid vaccination exercise which was earlier slated for th th march until the th of may for enquiry contact the agency via telephone on facebookcross river state primary healthcare development agency,0
covid vaccine is safe and effective ive gotten mine go and get yours,2
after watching this video i am a bit confused about covid vaccine seems like the strange is empty watch carefully please,0
so a friend that works with the cdc in the us told me that the moderna vaccine is the best vaccine for covid thus far then followed by the pfizer vaccine in her words other than these two the rest are trash me ill just wait it out until i can get my hands on moderna,2
the european union says astrazeneca vaccine is safe but hesitancy is on the rise in nigeria,0
moderna all the way then,2
i wish to use this medium to charge my members across lgas to try as much as possible to receive their own please because the vaccine is safe and effective wish healthy and peaceful living condition in our dear state and nation at large amen vaccine,2
have you been vaccinated covid how did your body react please help rt if this tweet pops up on your tl wanna have an idea of the wide range of reactions to the vaccine,0
today president of the senate his excellency received his first jab of the astrazeneca covid vaccine in his office the vaccination which was administered by his personal physician dr muhammad usman witnessed by some distinguished senators,0
dear pharmacist when is the scientific vaccine for covid coming up why are doctors scientists dying too arent we the kooks and yall the ones with the answers,0
covid nasarawa state has the best vaccination rate in nigeria followed by ogun jigawa oyo and kwara imo has the worst vaccination rate followed by ebonyi akwa ibom bayelsa and abia people have received at least one dose of covid,0
what is the other name for covid vaccine,0
whats the need of this vaccine when the virus keeps mutating,1
reports about the astrazeneca vaccine causing blood clots is deeply troubling and more countries are halting its use by the day i hope our early recipients are safe,0
so the presence of vaccine is the end of covid in nigeria ok na,2
i had the st dose some days ago i experienced headache that was relieved by pcm and sleep some others complained of fever too those who took pcm immediately after the vaccine experience little to no side effects thanks and god bless,2
original i took covid vaccine cos i wan fly out panelist so u wan chop president fly out ÔøΩbÔøΩ,2
if they buy the vaccine cards will they know if they dont take the vaccine is there no way to check cancelling peoples vaccine or returning them back to nigeria because they arent sure they took the vaccine is not fair a means to check should be devised,0
what is expected from our experts is to at least develop sound theoretical vaccine templates that can evoke confidence in major private companies to invest,2
vaccine role out in nigeria first nigerian dr cyprian igong to getting his shot from dr faisal dg of nphcda,0
is this a justification for all those that have been raising eye brows on the vaccine,0
the vaccines are safe free and effective get vaccinated for a list of vaccination sites close to you visit,2
observably there are large disparities by country level we see that highincome countries are much further along in their vaccination distribution programs compared to lowermiddle and lowincome countries and with this toward attaining global herd immunity are severely hampered,0
na another vaccine be that,0
this is the link to get registered for the vaccine as it hit crs from monday its free nd save,2
covid vaccination the real story at fmc abuja,0
ok so im going to get the vaccine after ive had peanut because if i add these symptoms to the one im passing through now,2
hmmmmm there are others who can safely give the vaccine too,0
are you joking or being real so you dont know the nigerias vaccine is in vapour,1
youve got to stupidly ignorant to take that pfizers vaccine because whats that agreement pfizer brought out jesus christ,1
taking my nd shot of vaccine today but im treating malaria this one sideeffect go mad,1
in spite of our dedicated push to ensure that we achieve coverage in the ongoing covid vaccination exercise we are determined to offer optimal services ranging from immunization family planning maternal and child healthcare among others kindly visit us today,2
a a olads farms branch office now opened at ilesa osun state contact us for your veterinary drugs and vaccine quality day old chicks point of lay birds poultry feeds poultry equipment eggs and live chicken,0
we are awakeners covid vaccine does not kill a better humanity is possible be intentionalfor more videos subscribe to our youtube channel link in bio,2
the first phase of covid vaccination captured of the population in gombe state update,0
exactly what i said the other day whats it with all the tests that i still gotta use my own money for again oisnt the vaccine suppose to suffice,0
can i drink coke after taking vaccine,0
in continuation of engagement of the vaccination exercise in lagos the coalition will deploy field monitors across vaccination centres especially private facilities across the state during the ongoing third phase,0
what then is the work of the vaccine people are taking,1
wait oh come to think of it i thought the vaccine was for frontline workers why all these politicians taking itneed explanation,0
if you failed to locate me when sharing palliative i see no reason why your vaccine will reach me those that benefited from palliatives must be the ones to get the vaccines,1
traveling tomorrow and i cant find my vaccination card sigh __,0
the biggest future behaviour change vaccination as a routine personal and collective responsibility at most ages,2
as part of measures to reach all communities in and to actualize a coverage in the ongoing vaccination exercise dr reached out to some chiefs and members of the traditional birth attendants seeking their collaborations to expand coverage,2
vaccine passport has to become relevant with boater dose in effect right now rt the rules have changed this is what you need to know about vaccine passports,0
the medical director prof saad ahmed received the second dose of astrazeneca covid vaccination staff and patients who had received the first dose of the vaccine are urged to go for the second dose vaccine,2
this is what happens when you read to argue and not to understand the leaders should distribute the same vaccine as the ones they take to the citizens,0
to apply for the covid vaccination or not,0
thank you thank you thank you nigeria covid vaccine is safe and effective my vaccination status completed,2
his effort in ensuring the availability of the vaccine in what capacity,0
na so i hear am oh leave an leave am bubu and his illiterate cabinet say every nigerian will take covid vaccine yaws don gas zaria nigeria,1
astrazeneca day covid vaccine,0
see ehn this vaccine dey kick my ass,1
wanted to get on the vaccine lanes but didnt connect with my inner staff,0
you really expecting people who hoard pallatives not to do the same for covid vaccine,0
so here i am in a state of reflection the kind that comes once in every months reading this article got me wondering what could be more important than agreeing to funding research for a home made vaccine one for all,0
vaccine or no vaccine you still fit catch am,1
vaccine hesitancy is a big deal in and some other countries no two countries will have same programmes of intervention all will include differences that answer local questions until we have improved literacy and trust in govt these shows will be important for acceptance,0
na me give am vaccine,0
flag off ceremony of vaccination in state today by his excellency governor,0
ah ah this vaccine thing is now some how,1
vaccine helps protect you from getting the disease stay protected,2
dear president vaccine can not protect nigerians those in north needs adequate security more than the vaccine vaccination is not our problem we need security and eradication of high cost of living in nigeria hunger is too much people are suffering,1
the vaccine developers report that some people experience pain where they were injected body aches headaches or fever lasting for a day or two these are signs that the vaccine is working to stimulate your immune system,0
god says the vaccine the world are busy taking is called bame mark but these satanic agents disguise it as vaccine i saw the angel of god in sky crying with loud voice that no one should take the vaccine,1
what is the essence of the vaccine then,1
ha wahala dey ______ no wonder i noticed that vaccination numbers were very low,1
hope say u don collect your covid vaccine coz u no go enter plane without am,2
our government should order vaccines and not rely solely on donated ones which is grossly inadequate vaccination centers are becoming potential super spreaders,2
covid vaccine tomorrow,0
heres some comforting words from one of the biggest liers in history he has all the solutions blairs plan for saving astrazenecas reputation gled vaccine safety panel and no rollout pause to probe side effects rt uk news,0
any location within mararaba nasarawa state for covid vaccination,0
abeg where una dey see this vaccine wet una dey take i just dey see my colleagues dey take vaccine up and down where e dey,0
during the pandemic u guys hide all the palliative meant for the people now vaccine don come una day beg us to take day even advice us on the important,1
nigeria covid vaccine lands in abuja abuja nigeria,0
no to covid vaccine,1
i will take covid vaccine,2
once i get back to lagos na to go try get vaccine,2
vice president received his nd dose of vaccine from the chief nursing officer at state house clinic nurse esther tukur at his aguda house residence th may,0
collected my covid vaccine today not feeling fine since then,1
vaccine u say vaccine wey i collect catch fever for one week,1
during the first and second phases of vaccination the coalition deployed field monitors for the exercise which led to concrete findings and recommendations forwarded to lagos state ministry of health and lagos state primary health care board,2
we hoop add me up psn trade deadline good luck hardensimmons kyrie needs to get his vaccine to keep the brooklyn nets on straightening,0
you are advised against using analgesic let the vaccine run its course you are guaranteed a better efficacy that way,2
bring on the vaccine,2
a temperature requirement of between + to +ÔøΩc this is the same temperature requirement as our existing vaccine for routine immunisation in summary the vaccine that will be procured by the country and made available in kwara will determine what type of cold chain,0
why get covid vaccine and still have to wear nose mask still lick sanitizer and tell me to observe physical distancing why well i took one cold bottle of sprite which is the same vaccine but different brandif you believed that vaccine then i also believe in this one,1
even if you like dont bring iti am not even waiting for your vaccine self jesus is enough for me,1
please try and stop her because ive heard of so many negative postvaccination sideeffects in the elderly,1
the facts are not surprising the fact that the new york times printed them is the most ironic part is that weve always known these things weve known that the covid vaccines dont immunize or provide immunity they are not at all a vaccine in the traditional sense,1
god forbids i take that vaccine no way,1
if youre in portharcourt and you want to get the covid vaccine you can get it at model primary school rumuodumaya come before pm they close by pm theres no crowd the process is pretty straightforward,2
president biden told reporters at his first press conference that he aims to see a whopping million doses of vaccines administered via,0
hey guys the wants to know your greatest concerns about the covid vaccine in this survey it takes less than minutes to complete thank you,0
thank you for bringing the update about the unintimidated health worker who refused corruption regarding your details been uploaded to the electronic management of immunization data an officer in the lga would have done that immediately or shortly after vaccination,0
bad government is killing nigerians faster than covid is our vaccine remove them all get your pvc,0
please at bauchi state here they are forcing us to take the vaccine out of our free will and we dont want to en mass thanks,1
read the latest news update in pidgin english as dr laz advises not to spend billion just on vaccine alone but to help support our health care sector in general click here,0
ku kadai kuke jin ddin mulkin kuu don hka kukadai kuke bukatan vaccine,1
the point im trying to make is since we still wear nose masks after vaccination why the vaccination,1
people that take the vaccine would have a significant level of immunity against the virus however they can still be vectors get infected but wont show symptoms and spread the virus to other people,2
the federal government of nigeria says from december workers who do not show proof of vaccination will be barred from government offices,0
taking covid vaccine,2
no covid no vaccine i go again,1
another of the many dark sides of vaccines getting the vaccine after having had the infection,1
the people that are meant to fix healthcare system in nigeria are flying abroad to take vaccine i love my country,1
nace ba nabi vaccine din dagudu bawando,1
these are the brands of covid vaccines available in nigeria moderna astrazeneca pfizer and johnson and johnson and the doses you need to be fully protected note all vaccines are free safe and effective,2
i am happy to announce that i have just taken my first dose of astrazenecaoxford covid vaccine,2
yes they are even planning to supply us the vaccine sef,0
as a strong advocate for vaccination this is commendable congratulations,2
am i the only one feeling itching on the body after vaccination,1
me facemask and hand sanitizer always carrying extra fm in my pocket incase someone without one sneezes am gonna give him __ i aint freaking out will get my st vaccine dose monday morning inshaa allah,2
isnt it ironic that as soon as top elected officials received their vaccine shot everyone is now going on health leave abroad,1
wait i think that state governor talk say he no need this vaccine,0
they should first test the covid vaccine to government official if they are safe then the vaccine is goodbut if they die then the country is safe,0
so wheres the lagos vaccine block party at,0
about million doses of the covid vaccine is expected to arrive the country on tuesday nd march,0
very very nice expression wlh me too that all what im think how do we know that the injection given to the pmb and vpyo is covid vaccine or something else oho also if it is real vaccine so how do we sure that the distributed one is the same with their onw nidai banso,1
just took astrazeneca covid vaccine it is safe yaba lagos,2
theyre so many hypothesis about the vaccine which are yet to be confirmed but nevertheless lets wait and see how it goes,0
has there been any confirmed casualties as a result of taking the vaccine,0
i have an appointment to go take my first shot of the covid vaccine this morning but all this things im reading online about the future side effects is kind of scaring me tho,2
its tough to imagine a world where employees and business owners wouldnt be required to get the vaccine it is a case of protect yourself and protect others for persons in businesses where interacting with people is the crux of the business the vaccine is even more important,2
which professionals are considered essential for the vaccine in nigeria,0
maybe they were wrong not grabbing everyone they find on the street and forcefully inject them with vaccine,1
i decided to follow my instinct to take my pfizer vaccine today,2
na person wey chop palliatives go take vaccine,1
how can i get this vaccine,0
ffk don disguised take him own all him gullible followers still dey run with his initial denigrating of the vaccine oje lo laye,0
taking a vaccine that was developed under a year goes against every damn thing we know about drug discovery and vaccine creation refer back to the vaccines are not effective if they were why are vaccinated people being asked to wear masks,1
bro you said years years these lots have been on the seat unsupervise for years do we really know what years means it only took the researchers for covid vaccine under one year with great collaboration to get one ready the works started yrs ago,0
yes very true and this is why a vaccine push shouldnt have been rushed observing people for months is nt enuf by weighing the data pros and cons the human immune system still serves humanity better and this current vaccine could be causing more harm than good,1
this might be right since the vaccine is for covid and we all know that covid most common symptoms are malaria symptoms lets be cautious pls ibadan nigeria,0
but with the more cases springing up in the less populated area wont vaccination in such area be a good measure of controlling the increasing number of cases taking into consideration the aforementioned states,2
icymi and launched the nd phase of last week at a press conference we shared details of our approaches to ensuring equitable vaccine distribution and health sector accountability in focus countries major highlights,0
you realize the virus already has a recovery rate how then can the potency and relevance of the vaccine be truly objectively assessed i mean itll raise it to or what no relevant p value with that man,1
post vaccine feels,0
so i took time out to take the covidvaccine doing my part to get rid of the covid pandemic well done to the medical staff at ikosi primary health care center,2
given that d effectiveness of f vaccine is in question it would be logical to say that previously infected people are more immune to d delta variant that vaccinated people who havent been previously infected after all previously vaccinated people are still being hospitalized,1
hmm wondering why such an important meeting had not been done before the vaccine got here the commissioners did not need to go to abuja just organize a zoom meeting and plan ahead but no oju aye must enter,0
thank you but im good with my vaccination card,0
we are members of the medical staff against the health passport we secretly help people get a valid health passport without them taking dangerous vaccine we all stand for freedom we offer to all countries,1
when you read on comments on under the vaccination progress in my country you will understand we truly have an educational challenge in my country,0
the word of god is not anti medication or vaccine,0
is the vaccine available in local health centres now,0
have taken my covid vaccine lagos nigeria,2
see anybody that buys vaccine in nigeria now is sick,1
squad is out tonight i am tempted but and most of them have taken vaccine,0
so who didnt approve the madagascarn herb but the astrazeneca vaccine they approved is now giving issues all over the world oh sorry like this was what naija imported hmmmm,1
gov makinde ssg others vaccinated as oyo govt kicks off covid vaccination,0
at the same vaccination site where i got the st dose of the vaccine i encourage you to do the same receiving the doses gives you better protection than receiving only dose the oxfordastrazeneca vaccine is a two dose vaccine given to weeks apart according to the who,2
they can go get the vaccine or they can fuck off why are you tying our decision to their own decisions they decided not to collect the vaccine and somehow its our fault please rest,2
when can we get a vaccine in west africa,0
i received the covid vaccine yesterday in accra ghana i therfore urge everyone to do same,2
so president buhari and vice osibanjo took the covid vaccine how are we sure its not water they injected into their bodies when they did not show us the bottle of vaccine,1
we need to support vaccination around the world not only to save lives and resume travel and trade but because anywhere theres uncontrolled spread of covid theres a risk that dangerous variants could emerge,2
we know about the vaccine what we are saying now tweet this simple,0
covid vaccination no strategic leadership just say top politicians from the ruling party,0
the getting of the covid vaccine in awka is such an easy thing to do as we have visited a lot of primary health care centres around town and it is a very stress free activity get vaccinated and stay healthy visit,2
alhamdulillah i just got my jab of astrazeneca vaccine yesterday at rumfa college kano health care workers have been on the frontlines of the covid pandemic but are often underprotected and overexposed covid vaccine is safe and effective please do encourage others,2
hpv vaccination is very safe gardasil was studied in clinicaltrials with more than females and malesgardasil was studied in clinicaltrials with more than females and males cervarix was studied in clinicaltrials with more than females and it was safe,0
just registered for covid vaccine the process is very seamless easy registration date time and venue were system generated based on the information provided guys please go and register,2
now yall know am anti vaccine dont care about your opinion so if youve take that vaccine youve been fooled not pranked look at it covid is now nobelity how can you give noble price to an imaginary shit damn,1
just vaccinate the world with a gates vaccinethats the answer ______ ok enough is enough please stop them buying more land to control food production and keep them away from the stratosphere with chalk dust please,0
at concert held at lagos state governor mr made a commitment for vaccine equity for the entire residents of the state th september,0
cnn science without his leadership and coordination there will be no vaccine,0
the national executives of acpn had fruitful meeting with the mtaps msh yesterday on covid vaccination we looked at ways of making the vaccination sustainable and effective in the community pharmacies with expected supports from,2
so some chelsea players are running away from covid vaccine like nigerians,0
do u want to knw abt covid vaccine for info about vaccine watch this episode of global covid watch do u ve questions email us swafricanewscom this is another frm security watch africa initiatives,0
abc which is jandj vaccine if youve all got solution for this pandemic you send it to all nation for total recovery,0
photos the first batch of the oxfordastrazeneca covid vaccines has arrived the nnamdi azikiwe international airport abuja today visit,0
one vaccination for every version can it be made ota download,0
sometimes in january covid vaccine was made available to over residents in ibadan for collection at the solutionsfm station oke ado click the link to know more,0
wait so if you refuse vaccination you are a misogynist maddd,0
could tis be what tis politicians are acting in the name of taking the vaccine,0
if you like no take vaccine because your beloved influencer havent endorsed or used it if you like take am covid na personal thing na,0
has anyone submitted form for vaccines in nigeria just seen that the old form no longer works and you are required to reregister on a new form but when you press submit nothing happens also comment if you have actually received vaccine,0
it takes several weeks after each dose of covid vaccine to develop maximum levels of immunity,0
lassa fever is not ravaging the western world they are rushing for covid vaccine because it is killing them for nigeria and west africa lassa fever is killing us more a word is enough,1
no proof it prevents covid nor prevents you infecting others the vaccine prevents serious sickness hospitalizations or death,1
i get covid vaccine formula,0
i got my covid vaccine weeks ago didnt get any side effects life was good yesterday i felt a flu coming up and boy didnt the vaccine decide to fight my body on the bright side the flu disappeared,2
the guy will sneak out of the country to take the vaccine while deceiving the gullible that they have nothing to fear meanwhile kaduna state is buying million vaccine doses on its own elrufai has been once beaten hes twice shy,0
you are absolutely spot on in addition there is an vaccine now,0
when should we be expecting the vaccination number and other instructions as stated,0
its rained these two times ive come out for my vaccination doses,0
india places temporary ban on export of az vaccines with new variant around the conner they are focusing more on increasing vaccination in their country,0
earlier today i got my first jab of vaccine felt sleepy afterwards niser,2
carried out a survey on the status of a few phc facilities and covid vaccine distribution i discovered the vaccination team have not been paid there stipend since last year who is responsible,0
every tuesdays and thursdays in lagos we go on vaccination rounds for kids agnosys cares,2
do you think it is important to get the covid vaccine can we know your reasons,0
vaccine is scam,1
so my pastor just said he got the vaccine and now hes trying to convince the congregation to get one as well,0
the mdce dr baba adamu the mgt staff and the emir of keffi hrh alh dr yamusa iii officially flagged off the vaccination of covid vaccine he urged all to drop the fear of safety concerns about the vaccine as theres no contrary opinion from the regulatory bodynafdac,0
his holiness pope francis is urging people to take the fighting and urging pharmaceutical companies to temporarily give vaccines patent waivers bishop oyedepo and pastor oyakhilome are urging people not to take the vaccines what a wawu,0
vaccinated individuals are not just getting the virus but becoming critically ill to the point of hospitalization what then was the point of getting the vaccine knowing fully well that there are known and unknown sideeffects,1
deadlykiller vaccine nigerians be wise,1
we dedicated whole northern vaccine to the south and east already we are not sure how really the vaccines is,0
no wonder obi china said he can help federal government get a cheaper vaccine,0
lead to overdoses n deaths some may prefer to break the tiny vaccine bottles n drink the vaccines directly against the makers prescriptions,0
give them the vaccine formula,0
this vaccine they do me somehow for body,1
look at all these ceremony for a vaccine we did not produce i dont think any other country did this,0
guy their country was ground zero and theyve refused to share critical data for their vaccine so why should i jab that into my system,1
a rare picture of me thinking about when the vaccine will get to me,0
the money to transport it is more than the vaccine itself,0
have you been vaccinated did you know that you can get covid vaccine right on fuoye campus and do you know why people are advised to get the vaccine the aim is to get every vaccinated to prevent further spread of the novel virus and to prevent another wave go get a jab today,2
ondo state gov has urged christians in the state and the country at large to imbibe the teaching of jesus christ on love and sacrifice he called on the pple oto go out for the covid vaccination noting that it is safe,0
how are we sure it is the real vaccine given nothing is impossible in nigeria,0
indian is the largest producer of covid vaccine and unfortunately is presently been attacking by the covid variants nowand nigeria leverage on vaccine so we must be proactive for now i will advise government to close down our airport for prevention sake,0
covid vaccine side effect include loss of sleep and general body pain tho it vary from one person to person nb a close friend took it and shes experiencing the above mention adverse effect truly africans are lab rats,1
fact the covid vaccine will not affect fertility the truth is that the covid vaccine encourages the body to create copies of the spike protein found on the coronaviruss surface,2
fake leaders how the fk do think you can fool your citizens by given them fake ass vaccine_ but hides the covid palliative funny people lmfao,1
covid vaccine is not yet in gbagada general hospital whos retuning my my transport fare like this,0
stop shaking your head explain to me why we need a vaccine for that,1
the theme for this years immunization is vaccine brings us closer the theme is so relevant especially at this time of the pandemic vaccines will help us conquer this watch this space,2
i legit left my house without face mask like nigerians arent saying the vaccine has,0
aint taking no covid vaccine,1
johnson and johnsons vaccine offers strong protection but fuels concern about variants,2
i wish to receive the covid vaccine please put me through to the correct process muchas gracias,2
pfizerbiontech vaccine and moderna vaccines have been revealed to be highly efficient in pregnant and lactating women via,0
the leader of the people is the servant of the people_he takes risk of receiving the covid vaccine injection b everyone in the state he leads and we follow u ar a leader indeed not in need_,0
all thanks to mrna vaccine science is good,2
atiku has gone to dubai to take vaccine and then hell launch his campaign for none of these issues would concern him cos he wont do any better,0
this week spoke as the member representing toro federal constituency this has kept us apart for so long but is coming back together if you havent already received your vaccine roll up your sleeve and get your shot,2
odogwu you be my vaccine,0
omo the vaccine does strange stuff to your body my appetite has been really shitty,1
may i use this avenue to appreciate the efforts and thank the youth vibrant of our time in person of hon mali bulama mali gubio the executive vice chairman of gubio lga has supported the introduction of covid vaccination in gubio lga,2
health workers are vaccinating people with covid vaccine while they rejected it when given to them,0
our target is to convince more youth to go for vaccine,2
they must all present their vaccination cards before entry,0
i pray both the insulin and oral covid vaccine come to pass it will be a huge relief especially for diabetics,2
okay its not a joke this stress got me real good this time it feels like when i took the vaccine i hate this,1
fortunately for us again in our hospital we have a thousand doses and almost per cent of our health workers have received the vaccine without any effects,2
first dose of mordena vaccine innit,2
howwhat is china doing about the vaccine,0
as palliative never reach you expect vaccine bcos that one must surely reach you,1
africans never exercise rights in the right places will you shattap and take the vaccine or not,2
you should register to take your covid vaccine here i already did click on the below link to register,2
i cant take a vaccine for a virus i have not come in contact with,1
id rather join the millions taking the vaccine without complaints than join the cynics hesitants and conspirators,2
no vaccination needed border is now open for tourists,0
even the vaccine does not mean you cant be infected,1
on this international womens day i am facilitating a workshop on covid vaccination as a consultant we are proud to celebrate women and,2
have you gotten the covid vaccine,0
very soon we will hear news that federal government spent over n million to organize the welcome ceremony of the vaccine and n million to print the banner,0
how much is the vaccine,0
protect yourself by taking the vaccine,2
preparation are on for vaccination of covid in gombe state dr habu dahiru commissioner for health with who,0
still happened last term kids came back with vaccination card and tale of needles,0
flash kwara state government received doses of oxford astrazeneca vaccine from the federal government,0
seems the astrazeneca covid vaccine was made for nigerians no report of side effect so far,0
i will not come to a public forum to start talking down on the vaccine i dont trust i will allow other use their own judgement and discretion to do what works for them,0
so far has explored the importance of independent govt audits in tracking covid funds csos role in engendering transparency in governance vaccine equity patterns and fiscal gaps transition into open contracting and the need for oversight of the executive among others,2
the biggest most affordable medical event of the year is in days for k only gives you access to tests consultations screenings free drugs free covid test and its vaccine get doses of other vaccines for as low as k during rt,0
boris please can i have s vaccine i swear she doesnt want,0
brahhh google did you dirty thats japanese o i speak chinese oh wait the vaccine is acting up already,1
pfizerbiontech vaccine offers strong protection against key variants of concern realworld data from qatar shows,0
of covid vaccine,0
pls where in lagos can we get the vaccine every hospital seems to be out of stock and they keep asking you to checkin in two weeks ive been at this for over months now,0
i have just registered for the covid vaccine on s website very simple i have secured date and time for the vaccination you can also register on i would be glad to get vaccinated in the coming days register now and kindly rtshare,2
you own vaccine is with nnamdi kanu,0
im so happy for you sir for refusing to take the end time vaccine,1
am tempted to get vaccinated in my areathe hospital handling it is just minutes drive from my estateogun state vaccination is still scanty for now,2
do i have to take another shot of vaccine if my last vaccination is more days i am fully vaccinated shots,2
its not over until it is over there is no room for overconfidence or complacency take the covid vaccine when eligible and take precautions to stay safe,2
our cofounder was on radio as part of the activities supported by to speak on the african vaccination week,0
that they are variants doesnt mean the vaccines already available would be ineffective against them vaccines just help the body build immunity against diseasecausing organisms its not that the vaccine stays in the body to fight infections science is enlightening sha,2
bishop oyedepo tells worshippers not to take covid vaccine,0
do people actually need someone to tel them to take vaccine would they also need someone to give covid permission to kill them,2
covid vaccine is dangerous,1
some people cant wait till the covid vaccine start turning people into zombies,1
omo show your covid vaccination card before you enter,0
mass vaccination to start on monday in stavropol,0
its been long we heard joe biden talk about covid and vaccine mandates whats going on,0
i have taken my first jab of the astrazeneca covid vaccine so far if you look at the statistics globally you can see that the success rate is very high,2
yesterday a senior lecturer said ryyt in front of me that hell rather drop his job than to get vaccinated seems theres more to this vaccine i dont know about yet,0
why are people scared of d vaccine,0
i be psir in making + osun girl + i be aa + tall girl + i get passport + nin + i get pvc + i don collect covid vaccine dose + fine girl + i still sabi cook join = no doubt l be spec,0
how to get covid vaccine on campus,0
covid vaccination done dont feel any side effects yet hopefully i dont at all,2
no adverse reaction observed in covid vaccination nphdca via,0
on this episode of public health for dummies eliza squibb artist designer educator and senior discusses her innovative vaccination messaging project in niamey niger republic mit,0
so vaccine don dey enter africaissokay nau e be like say trumpet don sound since ok bye done for tonight,0
you have to remind the members of bycc kano chapter about the vaccine,0
wallahi this vaccine has ended my erection,1
as a politician dont waste your time taking covid vaccine in public we already dont trust you u are on your own,0
for vaccine they did not produce lmao,0
thank you for your kind good wishes but it would be illogical for the first anti batch of vaccine to be poison as then nobody would show up for the next batches,0
the nigerian government is a joke actually this whole arrangement was in the first place to sensitize the community how the vaccination will be done and what they should expect but hey will these old folks in shiny coat be available on this street to deliver the vaccine to a,0
my understanding of vaccination is get a shot be immune at least for a while never seen anybody that got polio vaccine having polio again or anybody that got pox vaccine getting pox again only covid is different vaccine today sick again in months why,1
he gov was administered a second jab of astrazeneca vaccine today by dr salim umar under the supervision of state commissioner of health dr lawan gana,0
wrote today president received the second dose of the astrazenecaoxford covid vaccine in his official residence at the state house abuja,0
buh i read bout k abi k people that took covid vaccine in us tested positive to covid __,1
lmfao and how do we know its the actual vaccine theyll be injected with you people clearly do not rate us,1
how sure are we that its the vaccine and not a scam cuz in naija u can never rule out stunts,1
كل مرض له علاجه الخاص boss received his first dose of astrazeneca vaccine sir allah ya qara lpy da nisan kwana mai albarka allah ya karemu da cutar covid da dukkan sauran cutuka staysafeboss️,2
president buhari as number one citizen should take first shot of newly arrived covid vaccinethis is what we call leadership by example,2
am working on some online reviews by the us people the amount of health issues the vaccine as caused is even greater than the covid itself they are trying to reduce our population by killing us with the vaccine the corona virus is just a common coldthe numbers are fabricated,1
how much will the vaccine now cost if to run test b k naija which way,0
so six countries have suspended the use of astrazeneca vaccine this is not good at all,1
