review,label
Amazing! I love this and will definitely be buying this more often.. Taste so fresh that my taste buds thanked me for it...,1
"I've bright this product twice and both times bananas were bruised and rotten upon delivery. I don't think I'll be buying them again, I prefer bananas yellow, not brown!",2
Was fresh  juicy so I would buy again.,1
Love this product. The earrings are awesome. I highly recommend. I will order more,1
"I've made to fresh purchases and my first avacado was perfect. The one I received today was not any where near ripe AND has a huge rotten spot on it. Complete waste of money. My overall satisfaction with this fresh purchase was very, very low and I won't be buying from here any more. Sad, because my first purchase was great.",2
These were moldy the next morning after I received them. I shall not buy them again.,2
They are super cute and great for the price definitely  going to purchase more from this brand,1
I hesitated buying because most of the cantaloupe in the store is hard and not sweet. This cantaloupe was perfect. I would buy again.,1
"A little bland on flavor, much smaller than I thought for the price. Won’t buy again unless I really wanted salmon and was purchasing groceries online, as I was.",2
"Mine was ripe and fresh and sweet, but wouldn't reorder given the other reviews. Now I see why people actually buy HALF melons wrapped in plastic: SO THEY CAN SEE IT!",2
I would not buy these again! They are hard and no where near edible! Very disappointed.,2
"I cooked it same day and checked the package and looked really fresh, smelled like nothing. My husband hates seafood and I cooked it and he didn't even notice I cooked it. My Son had one piece and he loved it!! Buying again",1
"fresh , not very flavorful though",0
Just ordered these yesterday and the strawberries are moldy.,0
They are min but they taste just like you picked them from your garden that’s how good they are I will be buying these all the time love them I got my sister hooked on them,1
These were so fresh and ripe. They were firm but juicy! I would order more!!,1
Excellent,0
The value is acceptable,0
All of our produce has been excellent! Fresh and without blemish. My husband had a pear this morning that was just right.,0
"The oranges I got were absolutely huge compared to what I might have expected. They were literally the size of grape fruits. They were fairly good, although they had a lot of seeds. Like 20 seeds per fruit. Probably won't buy again, but the fruit I did receive were decent",2
The strawberries were fresh and sweet!,0
"They were great the first time, so I ordered more on Amazon Fresh a few days later and these ones were of a different brand and both packages were moldy! I tossed them in the trash and ordered another package on my next Amazon Fresh order and they weren’t so good. In fact, they tasted old and ripe and were about to turn soon. I’d say it’s very hit or miss with the fruit from Amazon Fresh, especially for delicate fruit like berries. And how could the packer not notice that there was mold on both packs?!",0
I’ll need to throw half the bag in the garbage. Won’t order again!!,2
This item was so small it was ridiculous. Avocados are usually small but this the item i got was as small as a child fist. I would not but this item again. Not worth the money.,2
"A great value, very fresh & will buy this again.",1
"This was awfull‼️  Hard fruit, Dry, No flavor. Like eating a Brick ‼️I don’t think that I would purchase this again‼️ ‼️",2
Really disappointed with the strawberries I received. The box seemed to have less than 1lb of strawberries and they were bad. No flavor and almost too ripe to eat.,0
The Amazon fresh shopper did a good job picking out fresh not old Halos. These are sweet and easy to peal. Would purchase again from Amazon Fresh.,1
"I was really wary about purchasing produce because I prefer to pick it out myself, but I was in a rush, so I took a chance. I am so glad I did. I have purchased these twice so far and I have only found one bruised one. They are so ripe and juicy that it's hard to not just eat them right out of the box!",0
"Wasn’t a fan. When I cooked the salmon, the orange coloring started to drip off, which was strange. Wouldn’t order again",2
love it,0
I love them all.Buying again soon,1
Half had white parts on top - they were not quite ripe yet and were hard/firm.  Most had a tart flavor rather than the more robust sweetness of a riper product.  I will not buy again.,2
"Grew mold in 2 days, but tasted good on day 1",0
Well I love sweet potatoes . Especially the small ones. But this particular batch seem very old and dried out.  I could only eat about 3 of them.  I will but again and hope for a fresher crop!!,1
"I won't be buying these again. Not sure why, but they were not crisp or crunchy. I suspect they were not that fresh.",2
nothing here,0
I never wear earrings until I saw someone post these on tik tok & let me tell you! Super great quality and so cute! I love them!!!!! Can’t wait to order more.,1
By the 2nd day was molding,0
"I've ordered several times, always seems to be picked at proper ripeness. Great flavor, so that makes a good value for me.",0
I bought this twice. First time was excellent second time was horrible!!! NO FLAVOR!!! NOT RIPE!!! MONEY WASTED!! NEVER AGAIN!,2
?!!!!!!!!,0
"When you can't pick your own produce, you get what you get. These may have been the best ones available but not what I would have picked out.",0
"The fish came rotten, fish should basically smell like nothing. Won’t be buying from Amazon fresh again for a long while.",2
So good and fresh!! Will buy more,1
"I was surprised these bananas came well packed and fresh, came a bit on the green side but that’s ok for me, ripped in about 3 days. Will definitely purchase again.",1
"These didn't resemble mandarin oranges, much larger. Only one was edible, the rest were soft and without flavor. I will not purchase again.",2
"The first 2 times we ordered this salmon I would say it was 5-stars all-around except for portion size which was slightly on the small size. We were very satisfied.The past 2 times that we ordered this product the quality seems to have changed. We had to spend 20-minutes removing plastic-like scales that were not removed before packing the fish. This is an inconvenience for sure and one that makes the purchase not worth it. It's pretty gross and they get everywhere - PLEASE SEE ATTACHED PICTURE.In addition to that inconvenience, there is a more ""fishy"" smell inside the package (the first 2 times it was completely odorless).Will not order again.",2
The strawberries were fresh and sweet. would definitely order fresh produce from Amazon Fresh. Thank you!,1
They look and smell so good and fresh,0
"Just got this for the first time today and cooked it tonight. This MOWI salmon is really top notch! My husband is still talking about it tonight. I made a honey glazed salmon meal and it was superb, but the best part was that the salmon was perfect in color and the freshest ever. There was absolutely no odor and it was just a great cut. Only wish the pieces were a little bigger for the price, but I'll definitely be buying it again because of the freshness, the packaging and the taste! MOWI has earned a new customer for life as long as they keep doing it this way.",1
"My dad LOVES clementines, so I try to keep them on hand... but my local grocery store’s selection of these cuties is mediocre, at best.I was SUPER impressed by the freshness, tastiness, and overall quality of these!10/10 will buy again!",1
Comfortable knuckle rings that can fit every finger.  Such a variety and stone colors. Definitely would buy again.,1
"Worth it due to Covid family & I have not been leaving the house and have been in need of fresh fruits & veggies as I am a vegetarian, all i can say is thank you so much Amazon Fresh you guys always deliver with care, fresh food, and notifications when orders are complete This service has saved our family in such a crazy time in the world I appreciate it and will continue to buy and recommend",1
"So I have purchased these a few times, and each time it has been difference. Which I am sure is because of the fruit. But in GENERAL, I will not buy these from here anymore. Sometimes these were just exactly what I hoped for, and sometimes it was just plastic. (Sad face)",2
"These are the most beautiful strawberries I have ever seen in my life!!!!!! Super sweet and I’m usually not a fan of strawberries from Amazon fresh, BUT I was really amazed today! I can’t stop  looking at them!!!! That’s how beautiful they are! I also tasted a few and the taste was outta this world! But please remember........ It’s really a hit or miss with fruits and vegetables on Amazon fresh.",0
"Unlike many, I know exactly what a golden papaya or solo papaya is, and this really is normal size and a reasonable good price for this specific variety of papaya compared to local grocers.However, the last 3 weeks, the papaya has arrived yellow, even to the point of having moldy spots on the skin, but the inside is so hard it actually crunches!The other problem I have is that although I've written several complaints, the papayas are still packed next to cans and arrive bruised and are handled so harshly, the can rims actually cut into and split open the papayas. I keep trying to explain to Amazon, they are like bananas - don't bruise them or crush them! I will buy them again in the future and if they are good, I'll update this review.",1
As rock hard as an avocado can get! Definitely NOT orderin again!,2
"Obvs part of an Fresh order. I usually eat 1 banana a day (take potassium supplement sometimes but in general prefer to ""eat my vitamins"") and tried these out. The quality I got was mixed...I don't mind yellow bananas but 2 were a little overripe. I don't think i've had some bananas ripen so fast(er) overnight. 2 out of the 5 the following morning after delivery were blackened and when open were spoiled (not just slightly browned). I was a bit grossed out but they are acceptable for smoothie making. But...I didn't buy them to make smoothies so the other 3 that were still edible I ate one and while the flavor was good I feel like it was ""juicy"" for a banana.I don't think I'm a fan or this brand or maybe this isn't the right season. I won't be buying bananas from here again. 3 out of 5 for the three that are edible.",2
"It was the smallest lettuce i got from amazon fresh, i hope when I buy next time they send a juicy and big one.",1
The strawberries were very sweet and clean no mold. Very satisfied.,0
I wasn't sure about this fish but it was actually quite fresh. Would order the fish again.,1
So big juicy and sweet,0
These are literally the best tasting strawberries I've ever had.,0
Everything I bought in this order died within a few days. I’ll not be making future purchases here again,2
Ripe and sweet. Perfect,0
"Sometimes YES, sometimes NO.  It's the end of December on the east coast and Halos are a definite NOOOOOO!  They arrived spoiled, pitted, mushy and mostly inedible.  I will wait till spring then order again.",1
The strawberries were so large! These stayed fresh for a couple of weeks! Excellent flavor and very reasonably priced.,0
"these were so good that I decided I'll purchase again. I got some at costco for a better price, but these tasted better.",1
Nice and fresh,0
"Always juicy, never bruised or moldy. Will buy again!",1
great strawberries very fresh great taste,0
"They were  great!I love sautéed mushrooms in garlic oil!Dash of  sea salt!The  has such great flavor .Will buy them again, it’s worth it!",1
"Might be why they are discounted right now, received refund but it didn't even arrive cold, it was warm at best not even packaged in their ""cool kept bags"" that I've received in the past... either drivers need trained on how to store cold items or they need to add that option for drivers after delivery... but also its just a waste of food. I have had semi good fruits and veggies delivered by fresh especially during Quarantine but it seems lately quality is going downhill.",0
"This is the worst bag of mandarins I have ever had in my entire life. They are tiny, smaller than a ping pong ball, and way underripe. Impossible to peel. I will not purchase again.",2
These are delicious and the bag comes with a lot! Definitely buying again.,1
This was my first time ordering food on Amazon and strawberries were bad the bottom portion were bruised and rotten I probably won’t buy fruit from them again but the non-perishable items were all perfectly fine. They arrive quickly it’s just said the fruit was no good at all nothing that you would take personally to take home so I don’t know why they would pick it up,2
My bananas were brown and mushy. I was so disappointed because in the past they've been great. I wasted money this time.  Now I won't order fruit from Amazon Fresh again because the shopper didn't mind bagging rotten food.,2
"Took about 4 or 5 days to turn from green to yellow. When they ripened, they were the most delicious bananas ever. Have you ever bought bananas from a grocery store, and they tasted funky? These are are sweetest, best bananas ever. I will order a bunch every time I order.",1
These are very good berries!! It is so wonderful to be eating so healthy food from Whole Foods with just a click of a button!,0
"My first Golden Papayas order on Fresh, so I only buy 1 when it's discountedI weight it, 34 oz ---great sizetaste: sweet  but not super sweet--- very goodFresh: yes, ---- greatprice: I buy it when it's less than $2, later price increase to $4 (I don't think I'll buy it again at $4)----great with discount, not too worth without discount.",2
Unusable. Never ordering papaya from Amazon again. They're overpriced and picked too young so they're not sweet.,2
"About 90% of the strawberries were good, but 10% were too moldy and had to be thrown away.",0
"Not as described. I had ordered the ""CUTIES"" from Amazon Fresh and was pleased. These are NOT the same item that is delivered; they are NOT SUNKIST, and are NOT even the same kind of citrus, which are smaller, and sweeter. My son still likes them, and I weighed them on a kitchen scale, and the weight was a bit over 3 lbs. So I will buy them again, but begrudgingly, because of the price and false advertising, as it's the only fresh fruit my son will eat. Otherwise, Ill pass, as I'm not a fan; I prefer the ""CUTIES.""",1
"Not as much crispness or flavor as regular cucumbers. Pretty bland, actually. Will not buy again.",2
"I don’t know what kind of avocado this is but it went straight to garbage. The other produce I receive is as bad. Will not buy from Amazon fresh again, I thought I would try it but was disappointed. The dry items are ok. Delivery time is good.",2
"Even in a brick and morter, I expect to have a few bad berries.  Not one and the rest were just right, some a little green but did not impact the taste, Like I said I was shocked,  Very good",0
They where either over ripe or not good quality or left out before they arrived: they ruined a few days after arrival I had to throw almost half of them out.,0
"My children LOVE smoothies and fresh fruit. I LOVE getting all of our fruit from Amazon Fresh! Everything is fresh, healthy, and the best quality around, ALWAYS!!!",0
super fresh. great taste will be buying again.,1
These were very good!,0
The bag of sweet potatoes were fresh. I look forward to all the ways to cook my potatoes. I did some roasted potatoes and veggies. It was so delicious that I almost didn't want to leave any leftovers  Will try sweet potatoes fries soon. May have to peel and freeze the rest so that they don't go bad. Great buy. I will buy again.,1
These are NOT Halos!!! Fresh has been out of Halos for a while so I decided to give these a shot. The first slice was so sour I almost spit it out. The second was not any better. Very disappointed. Will not be buying these again!,2
I used to love ordering these but the past three orders have been so bad. This was my last time ordering watermelon on Amazon Fresh,2
Love these! I will be ordering another set.,1
"So good, fresh full of flavor and worth the money!",0
Fresh fruit is always 5 star,0
I have ordered this item on four separate occasions and each time have gotten a rock hard avocado that took days to ripen.  Shouldn't be sold as ready to eat. I will not order anymore,2
"I love ordering amazon fresh but this is the 3rd time I receive smashed bananas, wanted to give benefit of the doubt to my first bad experience thinking it could have been bad luck... 2nd time I told myself I was not buying again... 3rd time I forgot to delete from cart. I won’t forget not to buy again",2
No flavor or sweetness,0
Always has mold on it . Have to sort through pack every time . Sometimes we get lucky and get to keep 1/2 the pack . I won't order again,2
Very fresh bought extra to freeze for smothies.,0
"They looks classy, not heavy, comfortable to wear. Will definitely buy again",1
IT WAS REALLY FRESH and some came sweet flavor!,0
"They were fresh, plump and was so sweet...",0
Sweet & fresh,0
In my order I included  3 avocados and I thought will receive medium avocados not this size! For $1.39 each one??? Really?? Very disappointed was my first and last order!!,2
"The first time I bought strawberries from amazon they were amazing! But these past 2 weeks they have all been bruised, slimy, and became moldy within 2 days....totally inedible which is a bummer and I’m not going to buy again for awhile. ",2
Chunks of the melon were almost crunchy.  Not the desired texture for cantaloupe.  Would not buy again.,2
"I'm not happy with this purchase. I don't understand why they would sell spoiled items.  Not ""fresh"" at all. It seem like lately I've been getting spoiled food. I will no longer buy fresh produce here again.",2
I would buy again because they were perfect.  Too bad I cant get another delivery date.,1
"First time purchaser. Read the review prior to the purchase. I was very nervous as I am kind person like to pick up mine own groceries. It turns out perfect! I bought one ready to eat, one not ready yet to compare. The skin of ready to eat looks really sad, but it was perfect inside. Love it! Will definitely purchase again.",1
The day I got the strawberries they looked good. The next morning I took them out of the fridge to eat with my cereal. There was already mold growing on them. I’ve never had that happen so fast before. I saved what I could. I used them on cereal and ice cream after I mashed them up and added some sugar to them. They lasted longer that way. I won’t buy them  anymore.,2
No comparison in the taste. I always pick a box when I get chance.,0
"These cucumbers seemed ideal for some quick pickles or a crisp addition to my salads.  I have ordered them 3 times, hope springs eternal.  Each time the cucumbers appeared fine on arrival, but they were a bit limp and if I didn't use them all within the fist 48 hours they became mush in the refrigerator and I had to get rid of them.  I won't be ordering again.",2
This was such a delicious product!  I will purchase it again from Whole Foods using my Amazon Prime Account.,1
The title speaks for itself. Didn’t get to enjoy them. They were molded once after 1 day.,0
They turned bad in 3 days????,0
These did not ripen well. 10% around the stem remained green. Too early in the season I suppose.,0
Love this! FRESH! Great will purchase every week! Thanks 5 stars definitely!,1
Not sweet. Also not as juicy as those purchased in the store. Won't reorder.,2
Gross. It's hard. Taste like the rind and not watermelon. Never again.,2
They were just about the best strawberries I ever had! Delivered for free in less than 2 hours. I'm amazed by Amazon! Just love being a prime member. One of the best value for your money deal around.,0
"Not sure why this watermelon tasted off, but I wouldn't order again.",2
Got moldy within a day! Never ordering again.,2
Very tasty,0
"These were so slimy, and they were either too ripe or so hard I immediately asked for a refund when I tried one and surveyed the rest. I will never buy this again after this experience--not worth the money or risk.",2
"I eat Salmon all the time and always buy fresh. There is something weird about fresh salmon that has a shelf life of 3 weeks. Even if it is vacuum sealed... When I opened it, it had a smell like faint formaldehyde? I’ve never experienced anything like it. Cooked up well but was virtually tasteless. I usually love the flavor of salmon and this did not taste like the fish that it is! I only ate the first piece. Just gives me a weird feeling all around for some reason. I don’t plan on purchasing again...",2
The variety of rings is amazing! Stylish & comfortable. I'd definitely re buy.,1
Will buy again,1
"I don't think they even try to pick out good fruit. Almost every single time I've ordered peaches or plums, they are hard as a rock, unripe, bitter and inedible. Never again.",2
I wasn't thrilled with these peaches. I ordered 2 and one had a rather obvious rotton spot on it. The other one looks like it was one of the last ones there and had been picked over.I will not buy again.,2
Great thick pieces and once I seasoned fried and put in the oven it was fantastic with some rice. Will buy again,1
This never ripened and then just started to rot. Had to throw away. Won’t buy again,2
"Beautiful and fresh! I’m always a little worried ordering fresh produce from Amazon, but I’ve been pleasantly surprised. (I guess it really depends on the location. I’m in San Diego)",0
"Oh yes, these are good. I've had some pretty iffy fish fromAmazon, but these are just perfect. I will buy one every week now. Delicious!",1
Berries not ripe,0
The strawberries were fresh and tasted delicious! I was surprised that I did not find  not one bad strawberry. All strawberries were bright red.,0
Old and no fresh why?money back please,0
definitely order again,1
Very juicy and fresh.  It they can engineer a seedless variety I’d be extra happy.  I’ll buy again.  No reservations and it tasted great!,1
"These halos came bad and soft, not ordering these type of things on Amazon again",2
Great value! I ordered quickly and was stunned by the amount of rings I received. Way more than I expected! Pack includes 3+ sizes so you can stack or combine in so many ways. Also Great if you are unsure of ring size. I will buy again,1
Shocked at how delicious and FRESH every single strawberry was.,0
"What a disappointment!!  Chewy, no salmon flavor.  Won’t buy this again!Used to buy MOWI salmon all the time, now it’s only this house brand.",2
"Each orange is a little smaller than I expected, but they are still large enough to pair with something else for breakfast. The flavor and freshness are fantastic. I wish the bag/netting did not create so much of a mess when cut with scissors, but this is a very minor complaint. I will likely purchase again.",1
Fresh and ripe great buy,0
Arrives spoiled and molds the next day or two,0
These grapefruit are AMAZING!!!!!! They are hugh and very flavorful. I will order these again,1
Going bad after 2 days,0
Tasty,0
"Although the produce arrived edible, the oranges have seeds unlike the description.  My daughter freaks out at seeds.  The fruit was also sweating and wet, so that will likely shorten the life of the fruits.  My fault for ordering online. I would never order again",2
I took a chance ordering this based on all the reviews. I had to wait for 2 days for my avocado to ripen. I will probably not buy again. When I pay $3 for a ready to eat avocado I kind of want one that I can eat right away.,2
These earrings very pretty and broke after 1 wear. Would not recommend and wouldn’t buy again. Only one set is still in tact.,2
Flavor of Amazon fresh fruits are always fresh.,0
"Super fresh, no artificial flavors whatsoever. Perfect mango. Will definitely be ordering again.",1
Loved the different styles and sizes.  I would buy these again,1
Fair price and they arrived without too much bruising. Good value for the money!,0
Fresh strawberries were past their prime and some were mushy.,0
"My strawberries  A total of 16-18 ct were juicy, delicious and fresh, and some had big one's. This was my first time buying on Amazon Fresh.  I took my chances despite the bad reviews from 2016. I'm sure there have been some good strawberries. Now it's 2020, stores make improvements, give them a try.",0
"So this is the second set of earrings I bought. The first was for my daughter and they are beautiful.  She wears them all the time and so far they have stayed as pretty as the day they came. I bought the second set for my sister because she loved them so much. For the price, they are fantastic. The backs and posts are sturdy and the metal they use hasn’t cause any reactions.  That is a big deal since my daughter has very sensitive skin. Overall extremely happy with my purchase. I will most likely buy other products from this vendor",1
Fresh and juicy. Ripe and ready to eat.  Great flavor.  Not smashed or rotten berries. Great way to get your vitamins.,0
Horrible. Overpriced will not buy again,2
No no no. These strawberries are so moldy. This isn't the first time. It's actually the 6th. I keep buying them thinking it will be better next time but NO they are the same. Really so disappointed that Amazon would continue selling them. The good strawberries on here are over $6 & over priced. So maybe that's why I keep running too these cheap ones. NEVER AGAIN,2
Do not buy!!!! This has to be the 4th time I received this at the end of its cycle. It is tasteless not fresh and has seeds. I will never buy this product again. Save yourself and your money. It didn’t even last 3 days til it expired smh,2
"I divided this salmon into three portions. Each time I ate it, I had a lingering woody, bitter aftertaste in my mouth for several hours (4+). Some might not mind, but I found it very unpleasant.Aftertaste aside, the cut of salmon seemed fresh and was quite enjoyable. I'd buy from this brand again, but in my opinion, skip the cedar.",1
Next time I will take a picture but I was able yo say the rest,0
"This is some good quality salmon. I usually buy salmon frozen and individually wrapped in the bag (bad, I know..lol). But once I had a taste of this fresh packed salmon, there was no turning back! I will definitely order more!",1
"I usually buy the MOWI brand of Salmon and never had a problem. This Amazon brand was disappointing. It smelled fishy, even though the expiration date was 2 weeks away. It was also boney. Maybe the portions are 6 ounces each, but they were very thin. Won't buy their brand again.",2
"Some Amazon Fresh products are hit or miss. The mushrooms were fresh every time I ordered. Also, the taste is great.Will keep ordering.",1
Good strawberries,0
I got these for my daughter for her birthday and she loved them.  She can mix and match them and she always has one on because there are so many.  I'd purchase these again as a gift.,1
"So, compared to HALO these are pure junk,  crap. They are small,  hard to peel,  unusual flavor, and weird texture. I'll never buy these again from Fresh.",2
Having a hard time with all my blueberry orders as they are never sweet and am not going to order again.  Every time I get an order they get bitter and more bitter the next time.  Not even sugar helps!,2
"It's hard to have someone else pick out your fruit.  The person who picked this one did an OK job, it was just not ripe enough. I would purchase this way, again...",1
Refreshing. I will order again,1
These strawberries look and smell delightful!  I could smell them when I opened the bag.  The perfect freshness!  Nice and red and ripe but would definitely hold for a day or two!  <where'd I put that whipped cteam?>  hahaha!,0
"I REALLY REALLY REALLY like these rings! Yes, they are all randomly sized, but who cares lol. The rings that were a little larger than my finger, I took a pair of jewelry pliers and snipped the back to fit me better. I’m definitely buying more, thanks for this product, I appreciate you!",1
"I have ordered this product a few times and probably will order again as I haven’t gotten sick yet. This product might come with some discoloration, either dark spots on the body of the strawberry and/or white spots at the top. They try to fit 1 pound of strawberries in a tiny container and I have had the product arrive open inside the fresh bag. This product tastes much better than it looks. Definitely needs a wash before you eat them, you can just see the dirt coming off in a bowl. I usually eat these with whipped cream",1
"Compared to Quties bought at the supermarket, this brand is not as good.  It's almost impossible to peel by hand without gouging, and some of the items went bad rather quickly (again, compared with what I'm accustomed to buying at the store).  I've tried it twice, and don't think I'll order it again.",2
Taste wasn't good used as snack,0
"I ordered these yesterday and when they arrived they were beautiful.  Today, My daughter started slicing them up and they were all rotten inside.  I contacted Amazon and received a refund.  I have ordered other items with no problem, I think I will refrain from buying them again.",2
Sweet good taste and fresh. Definitely buying more,1
"I have purchased this mango twice. The first time it was sour and hard as a rock, and I assumed it was a fluke. The second time the pieces were even more green. I got a little out of the first pack, but this one I had to toss it all. I won't be purchasing this again",2
"I read reviews on this salmon and hesitated, however I'd like to say I was pleasantly satisfied. Bake as instructed on packaging and it will be perfect! Definitely ordering again.",1
"If I inspected these at any grocery store, I would have purchased, but this is now the third time in a row that I have received several strawberries growing mold. On this recent batch, the strawberries looked spectacular, but while rinsing (within 15 minutes of my order delivery), I found the moldy strawberries in the middle of the batch. Really disappointed. I was able to salvage only 2/3 of the batch. For the price we pay, unacceptable. —Miami, FL",0
Really good,0
"The strawberries would be perfect now for strawberry shortcake, they are that good!",0
Can in fresh and cold will be ordering again,1
"These berries were sweet, firm and tasty. I will buy more ",1
"Wasn't ripe, totally crunchy and flavorless!!!!Won't buy again eeeewwwww",2
First Time I ordered I received a really good quality avocado. But Second time I just waist my money!! Really disappointed!! I received something that I dont think should be able to purchase again! It was ruin!,2
"We bought bananas from Amazon Fresh over and over again. Every single one of them tasted horrible. I thought maybe it's just a bad batch, but I was proven wrong. Even my husband who is not a picky eater now bans me from buying bananas (or any fruits other than Fuji Apple) from Amazon. The outside looks ripe, the inside looks ripe, the texture is of ripe bananas,  but somehow the taste is a taste of unripe banana. We tried eating it at different levels of ripeness, but nope. It just tastes bad. Never again!",2
Never again ☹️☹️,2
This were the most fresh juiciest strawberries I have eaten I never can get them like this at any store.,0
"I’ve ordered strawberries quite a few times through AmazonFresh, always hopeful, but knowing it’s a 50/50 toss up if they’ll be okay or rotten...and truly, 50/50 is being kind. Figuring I’d be safe in the height of summer, and *really* wanting some strawberries, I tried again. But no...over a 1/4 of the package was rotten, another 1/2 was so mushy that my fingers slipped completely into the strawberry while trying to take them out to throw away, and in the end, out of a full pound - I was left with eight strawberries that didn’t look like they’d give me food poisoning if I ate them. SAD.",0
Strawberry,0
package weight must include the weight of the cedar plank because the fish portions seemed smaller.  would not buy again. (cooked in a toaster oven like usual.  flavor was fine),2
It’s either not ripe or i have to eat it the same day because it’s going bad.,0
First time I ordered and wasn't fresh or sweet. Might not order in the future,2
"These are the best strawberries I've ever bought - the tase is sweet and floral, the look is uniform and perfectly ripe.",0
"Disgusting.  All were rotten and completely inedible.  They all had spots on the outside and moldy stems.  Upon opening, each pomegranate was black and moldy on the inside. The bags in which they were shipped were worth more than the actual fruit.  Won't be buying from Amazon Fresh again.  They wouldn't send me replacements.",2
Very fresh and sweet. Kids loves them!,0
Salad,0
I bought this for around 5bucks but the oranges were spoiled. I don't think I'll buy this again,2
"I regret not getting a picture but they really aren’t kidding when they say “mini”. I guess it probably depends on the shipment they received. I guess this batch was just extraordinarily small. Since I don’t have a picture, I’d compare their size to that of a q-tip. I used to buy these from the market back before this pandemic happened so I know how large these can get (which isn’t that big). But these were just so scrawny I actually laughed when I got them. They still tasted quite nice though so no problem there. I would buy it again since it’s convenient but, that’s really the only reason why.",1
I have always love amazonfresh. Its very convenient and products are always fresh. This time however my papaya was delivered to me rotten. Definitely won't be ordering any papayas from here again.,2
I ordered 2 and had to take a second mortgage on my house. It was very tasty and I will definitely be saving so I can buy another one,1
"great quality, fresh, we are ordering more soon",1
VERY GOOD,0
Excellent,0
"Wow......strong flavor, great for cooking, definitely buying a larger size of this!",1
"gooey, disgusting and they smell!!",0
These delicious fruits were used for smoothies and just eating plain. They were very refreshing.,0
"Moldy, rotten, and dripping in the bag. There's NO WAY the person picking didn't see that and there is NO WAY the produce manager didn't see their produce was rotten and moldy and there's NO WAY I'm spending  hard earned money on rotten food from WF. ""On sale"" 2 for $5. Guess I know why. WF's prices aren't any better than anywhere else AND neither is their quality. Everybody does curbside and delivery. If they want sales they are going to have to do better with the quality. No one is going to spend money on ROTTEN FOOD. That's one slimy move trying to unload rotten food.",0
This is about my third time trying to order a decent yellow pineapple but no good. Second time was eatable but this third time. It wasn’t ripe so I let it sit out for two day and immediately there was a scent so I decided to cut it open in which it was white and smelled and tastes bad. The first time there were maggots coming from it only after sitting for two days. Never will I buy it again.,2
Very tart and sour; small and seedy and they started to go bad after three days! I ended up blending them with other stuff so I found a use but I hate not picking out my own produce....,0
"We've ordered these strawberries a few times. Sometimes they are sweet and tasty. Sometimes many of them are bruised and mushy. Sometimes, most of them are dry and tasteless. No way to tell what you are going to get.",0
I bought several times.  3 or 4 each purchase.  The last purchase had a bad taste.  I bought 3 of them and they tasted like perfume or something had spilled in them.  They smelled peculiar as well. So I had to throw them away.  I won't buy it from here anymore.  I can't keep throwing away money like that.,2
